Feature,TimeTrainMatrix,Accuracy,F1Score,Cluster,Threshold,TimeTrainClus,Recall,TimeTrainCommDetect,Precision
1,3.953202962875366,0.66,0.3975903614457831,2,0.8,0.0625004768371582,0.3316582914572864,4.3750855922698975,0.49624060150375937
2,3.359440565109253,0.78,0.7916291896471354,2,0.8,0.06250190734863281,0.7752977679911921,4.500088214874268,0.8086634496689484
3,3.578195810317993,0.815,0.8208416284473555,2,0.8,0.0624995231628418,0.8037439613526569,4.375086069107056,0.8386825272135563
4,3.562570095062256,0.805,0.8132886339308836,2,0.8,0.0625007152557373,0.7961661983139301,4.375085830688477,0.831163730221075
5,3.5938193798065186,0.81,0.8170466382004181,2,0.8,0.06252622604370117,0.7999196060697418,4.3750855922698975,0.8349231287173157
6,3.7344470024108887,0.8,0.8095663133225866,2,0.8,0.0468754768371582,0.7924812030075188,4.2813355922698975,0.8274043317248345
7,3.7344486713409424,0.825,0.8285479874354221,2,0.8,0.046875953674316406,0.8116161616161617,4.2813355922698975,0.8462013242060374
8,3.8594510555267334,0.805,0.8132886339308836,2,0.8,0.04687643051147461,0.7961661983139301,4.390710830688477,0.831163730221075
9,4.250082969665527,0.82,0.8276619099890231,2,0.8,0.046875715255737305,0.8099688473520249,5.0782246589660645,0.8461452137807204
10,3.828200101852417,0.81,0.8201688519399354,2,0.8,0.0468754768371582,0.8025062656641604,4.375086784362793,0.8386264167882392
11,3.9532032012939453,0.82,0.8276619099890231,2,0.8,0.0625002384185791,0.8099688473520249,4.390711545944214,0.8461452137807204
12,3.8750767707824707,0.81,0.8170466382004181,2,0.8,0.0625007152557373,0.7999196060697418,4.390710830688477,0.8349231287173157
13,4.015704154968262,0.83,0.8324621786734006,2,0.8,0.04687666893005371,0.8156696021864561,4.375085353851318,0.8499607227022781
14,4.2188332080841064,0.84,0.8459395037444167,2,0.8,0.046875953674316406,0.8278052223006351,4.484463214874268,0.8648860958366065
15,4.156332015991211,0.815,0.8238969912375954,2,0.8,0.06250119209289551,0.8062023283821758,4.35946249961853,0.8423858152844799
16,4.2032084465026855,0.82,0.8340051933580108,2,0.8,0.0468752384185791,0.8153338004203783,4.390711784362793,0.8535517899225675
17,4.312585115432739,0.82,0.8276619099890231,2,0.8,0.046875715255737305,0.8099688473520249,4.500088691711426,0.8461452137807204
18,4.406336069107056,0.82,0.8276619099890231,2,0.8,0.04687690734863281,0.8099688473520249,4.3750855922698975,0.8461452137807204
19,4.468837261199951,0.81,0.8201688519399354,2,0.8,0.09375238418579102,0.8025062656641604,4.390712022781372,0.8386264167882392
20,4.406338453292847,0.825,0.8345050345858983,2,0.8,0.0624995231628418,0.8162384584504215,4.500088214874268,0.8536079003478847
