Feature,Accuracy,TimeTrainMatrix,TimeTrainCommDetect,TimeTrainClus,Cluster,Threshold,Recall,Precision,F1Score
1,0.505,3.359440565109253,4.390710830688477,0.06250214576721191,2,0.8,0.7512562814070352,0.505,0.6039920798415969
2,0.81,3.4688162803649902,4.296960353851318,0.06250190734863281,2,0.8,0.8131313131313131,0.81,0.8115626361316821
3,0.91,3.453192949295044,4.406335115432739,0.04687690734863281,2,0.8,0.9106570512820513,0.91,0.9103284070804251
4,0.905,3.500067710876465,4.359460830688477,0.04687619209289551,2,0.8,0.905040504050405,0.905,0.9050202515720143
5,0.905,3.8125762939453125,4.406336307525635,0.0625004768371582,2,0.8,0.905040504050405,0.905,0.9050202515720143
6,0.505,3.6094462871551514,4.375086307525635,0.06250119209289551,2,0.8,0.7512562814070352,0.505,0.6039920798415969
7,0.875,3.7344489097595215,4.406336784362793,0.09375238418579102,2,0.8,0.875037503750375,0.875,0.87501875147333
8,0.87,3.968827962875366,4.3750855922698975,0.04687619209289551,2,0.8,0.87,0.87,0.87
9,0.855,3.8438258171081543,4.359460353851318,0.0468754768371582,2,0.8,0.868295466334682,0.855,0.8615964449731486
10,0.825,3.9532008171081543,4.468838691711426,0.06250190734863281,2,0.8,0.827653997378768,0.825,0.8263248676619281
11,0.85,3.9375784397125244,4.39070987701416,0.0625007152557373,2,0.8,0.8617197188921042,0.85,0.8558197384468622
12,0.84,4.062580108642578,4.390711307525635,0.0625009536743164,2,0.8,0.8467972256221951,0.8400000000000001,0.8433849175442757
13,0.835,4.078205347061157,4.359461307525635,0.0625009536743164,2,0.8,0.8427109974424553,0.835,0.8388377783028577
14,0.835,4.171956539154053,4.375086069107056,0.06252360343933105,2,0.8,0.8449696220780558,0.835,0.8399552291456791
15,0.85,4.156334400177002,4.390712022781372,0.06249833106994629,2,0.8,0.8569971440228478,0.8500000000000001,0.8534842310312273
16,0.83,4.218835115432739,4.3907105922698975,0.0624997615814209,2,0.8,0.8348214285714286,0.8300000000000001,0.8324037327040653
17,0.815,4.265709161758423,4.48446249961853,0.06250119209289551,2,0.8,0.8188581840267233,0.815,0.8169245366657404
18,0.805,4.375088214874268,4.40633749961853,0.046874284744262695,2,0.8,0.8087357019941289,0.8049999999999999,0.806863527033304
19,0.825,4.515713453292847,4.375085830688477,0.04687666893005371,2,0.8,0.8305869189299155,0.825,0.827784032698301
20,0.815,4.5782153606414795,4.45321249961853,0.0625004768371582,2,0.8,0.820415013732072,0.815,0.8176985420548192
