Feature,Threshold,TimeTrainCommDetect,Recall,TimeTrainMatrix,TimeTrainClus,Precision,Cluster,F1Score,Accuracy
1,0.8,20.9377760887146,0.30246349181646043,6.703213214874268,0.9687628746032715,0.4106666666666667,3,0.34835625024422606,0.4106666666666667
2,0.8,21.35965609550476,0.30246349181646043,9.828255414962769,0.9687626361846924,0.4106666666666667,3,0.34835625024422606,0.4106666666666667
3,0.8,20.79714846611023,0.30246349181646043,12.515812873840332,0.9687392711639404,0.4106666666666667,3,0.34835625024422606,0.4106666666666667
4,0.8,21.031527519226074,0.30246349181646043,15.703332662582397,0.9687628746032715,0.4106666666666667,3,0.34835625024422606,0.4106666666666667
5,0.8,21.219030141830444,0.30246349181646043,18.453368663787842,0.9687635898590088,0.4106666666666667,3,0.34835625024422606,0.4106666666666667
6,0.8,20.37526822090149,0.30246349181646043,21.42215847969055,1.1875159740447998,0.4106666666666667,3,0.34835625024422606,0.4106666666666667
7,0.8,21.250279664993286,0.40443404332293226,24.031593322753906,1.5781199932098389,0.4053333333333333,3,0.40488318897328957,0.4053333333333333
8,0.8,21.46903347969055,0.30246349181646043,27.094107627868652,0.9843881130218506,0.4106666666666667,3,0.34835625024422606,0.4106666666666667
9,0.8,20.672147750854492,0.3612681731166349,29.906643629074097,1.3593933582305908,0.37733333333333335,3,0.3691260383276177,0.37733333333333335
10,0.8,20.39089345932007,0.35878466254993685,32.96918511390686,1.3593926429748535,0.37733333333333335,3,0.36782530362241256,0.37733333333333335
11,0.8,21.37528085708618,0.37030966703889145,36.062997341156006,1.5312495231628418,0.3893333333333333,3,0.3795832962672288,0.3893333333333333
12,0.8,21.500283002853394,0.3898548347874651,38.609907388687134,1.5468711853027344,0.3893333333333333,3,0.3895939095430119,0.3893333333333333
13,0.8,19.96901273727417,0.318631485885007,41.57869338989258,1.5468745231628418,0.3893333333333333,3,0.35045204263547963,0.3893333333333333
14,0.8,21.12527823448181,0.3652792825328037,44.422484397888184,1.9375042915344238,0.39866666666666667,3,0.38124339587726785,0.39866666666666667
15,0.8,21.062777519226074,0.3910763138671607,48.20376133918762,1.937525749206543,0.40399999999999997,3,0.39743312194489616,0.404
16,0.8,21.04715394973755,0.38356121840014384,50.969443798065186,1.4531240463256836,0.4146666666666667,3,0.3985078819522341,0.4146666666666667
17,0.8,21.328407049179077,0.33641913809471097,53.50070667266846,2.0781524181365967,0.408,3,0.3687680805572704,0.408
18,0.8,22.234668731689453,0.3187981440525449,58.375771284103394,2.0938031673431396,0.4053333333333333,3,0.35689517283734695,0.4053333333333333
19,0.8,21.78153681755066,0.3359259259259259,59.76640462875366,2.0312552452087402,0.408,3,0.36847157223937066,0.408
20,0.8,21.75028705596924,0.3363420037016677,62.23521637916565,1.9843800067901611,0.4066666666666667,3,0.36817627292973276,0.4066666666666667
