Feature,TimeTrainClus,Threshold,TimeTrainCommDetect,F1Score,Recall,Precision,Accuracy,Cluster,TimeTrainMatrix
1,0.046875,0.8,4.04692816734314,0.3850213488211738,0.44569288389513106,0.33888888888888885,0.3388888888888889,3,3.2656679153442383
2,0.031249523162841797,0.8,4.0313026905059814,0.6688835209264874,0.7387196137196136,0.611111111111111,0.6111111111111112,3,3.4531712532043457
3,0.0468747615814209,0.8,4.187554359436035,0.5942413594793593,0.5833421976385491,0.6055555555555555,0.6055555555555555,3,3.4531707763671875
4,0.0468754768371582,0.8,4.1875550746917725,0.6196593885891226,0.6117482918687738,0.6277777777777778,0.6277777777777778,3,3.4531707763671875
5,0.0468754768371582,0.8,4.171929836273193,0.6264190224586411,0.6196540528437081,0.6333333333333333,0.6333333333333333,3,3.4531710147857666
6,0.0468754768371582,0.8,4.156304359436035,0.5593121175500181,0.5281007751937984,0.5944444444444444,0.5944444444444444,3,3.546921968460083
7,0.046874284744262695,0.8,4.1875550746917725,0.5955630231183296,0.5710944026733501,0.6222222222222222,0.6222222222222222,3,3.5781731605529785
8,0.046875715255737305,0.8,4.1406800746917725,0.6064090099893568,0.5864470870494967,0.6277777777777778,0.6277777777777778,3,3.593796968460083
9,0.0468754768371582,0.8,4.156304836273193,0.5975146328704116,0.5746943115364168,0.6222222222222222,0.6222222222222222,3,3.671923875808716
10,0.03125,0.8,4.156304836273193,0.6425371336812525,0.6520123839009289,0.6333333333333333,0.6333333333333333,3,3.687549114227295
11,0.0468752384185791,0.8,4.03130316734314,0.6344819660915485,0.6413308913308913,0.6277777777777778,0.6277777777777778,3,3.703174114227295
12,0.046875953674316406,0.8,4.046928405761719,0.6563677467972872,0.662861491628615,0.65,0.65,3,3.828176259994507
13,0.031250715255737305,0.8,4.1719300746917725,0.6388062140444306,0.6387235605941322,0.638888888888889,0.6388888888888888,3,3.8438003063201904
14,0.046875,0.8,4.06255316734314,0.6439272052470706,0.6434107956691735,0.6444444444444445,0.6444444444444445,3,3.843801498413086
15,0.0468754768371582,0.8,4.171930551528931,0.6426374032148255,0.6408404676424561,0.6444444444444445,0.6444444444444445,3,3.9531774520874023
16,0.0468745231628418,0.8,4.156304121017456,0.6348639753923583,0.6308894572321683,0.6388888888888888,0.6388888888888888,3,4.031303644180298
17,0.0312504768371582,0.8,4.171929836273193,0.6348639753923583,0.6308894572321683,0.6388888888888888,0.6388888888888888,3,4.156305551528931
18,0.0468747615814209,0.8,4.156305313110352,0.6271222187071601,0.621031746031746,0.6333333333333333,0.6333333333333333,3,4.062554597854614
19,0.03125,0.8,4.171929836273193,0.6497628127616035,0.6440715471141435,0.6555555555555556,0.6555555555555556,3,4.140680551528931
20,0.0468747615814209,0.8,4.187554359436035,0.6495981329900168,0.6437480125781719,0.6555555555555556,0.6555555555555556,3,4.359434366226196
